Location,"Mortality Rate, 2014*"
"Clear Creek County, Colorado","181.20 (163.15, 201.85)"
"Conejos County, Colorado","232.09 (211.32, 251.16)"
"Costilla County, Colorado","206.44 (185.77, 229.65)"
"Crowley County, Colorado","222.76 (199.41, 248.31)"
"Custer County, Colorado","157.86 (137.76, 177.75)"
"Delta County, Colorado","252.35 (237.25, 268.76)"
"Denver County, Colorado","210.76 (204.08, 216.85)"
"Dolores County, Colorado","216.46 (187.24, 246.77)"
"Douglas County, Colorado","153.88 (145.07, 162.51)"
"Eagle County, Colorado","110.04 (100.30, 121.45)"
"El Paso County, Colorado","218.76 (210.47, 227.31)"
"Elbert County, Colorado","178.52 (162.71, 195.27)"
"Fremont County, Colorado","257.75 (243.54, 273.28)"
"Garfield County, Colorado","194.90 (181.72, 208.87)"
"Gilpin County, Colorado","208.91 (180.32, 242.08)"
"Grand County, Colorado","164.71 (147.71, 181.67)"
"Gunnison County, Colorado","179.07 (162.43, 197.35)"
"Hinsdale County, Colorado","110.65 (92.66, 131.39)"
"Huerfano County, Colorado","248.74 (227.17, 268.51)"
"Jackson County, Colorado","172.59 (148.90, 200.06)"
"Jefferson County, Colorado","210.76 (204.08, 216.85)"
"Kiowa County, Colorado","231.85 (204.34, 263.34)"
"Kit Carson County, Colorado","214.66 (196.34, 232.88)"
"La Plata County, Colorado","179.81 (167.23, 192.77)"
"Lake County, Colorado","207.67 (183.78, 233.46)"
"Larimer County, Colorado","197.38 (189.10, 206.05)"
"Las Animas County, Colorado","256.62 (239.14, 276.92)"
"Lincoln County, Colorado","210.21 (190.18, 232.07)"
"Logan County, Colorado","241.53 (226.19, 257.54)"
"Mesa County, Colorado","238.86 (227.89, 249.25)"
"Mineral County, Colorado","168.40 (139.28, 200.30)"
"Moffat County, Colorado","232.18 (213.39, 253.85)"
"Montezuma County, Colorado","243.73 (228.77, 259.61)"
"Montrose County, Colorado","219.69 (206.95, 232.15)"
"Morgan County, Colorado","219.08 (204.03, 235.65)"
"Otero County, Colorado","273.61 (255.46, 291.85)"
"Ouray County, Colorado","149.09 (132.52, 167.96)"
