Location,"Mortality Rate, 2014*"
"Neshoba County, Mississippi","421.14 (395.58, 445.21)"
"Newton County, Mississippi","356.27 (332.48, 380.00)"
"Noxubee County, Mississippi","352.44 (325.13, 382.03)"
"Oktibbeha County, Mississippi","282.13 (263.62, 300.95)"
"Panola County, Mississippi","423.24 (399.90, 447.98)"
"Pearl River County, Mississippi","320.77 (304.18, 338.49)"
"Perry County, Mississippi","348.43 (319.33, 380.48)"
"Pike County, Mississippi","363.85 (344.48, 384.45)"
"Pontotoc County, Mississippi","284.81 (265.18, 305.45)"
"Prentiss County, Mississippi","293.19 (272.52, 312.88)"
"Quitman County, Mississippi","425.14 (388.16, 461.96)"
"Rankin County, Mississippi","288.12 (273.33, 303.46)"
"Scott County, Mississippi","344.19 (321.78, 366.43)"
"Sharkey County, Mississippi","354.95 (323.63, 391.51)"
"Simpson County, Mississippi","402.57 (375.55, 428.42)"
"Smith County, Mississippi","356.80 (329.24, 386.99)"
"Stone County, Mississippi","387.91 (354.67, 422.17)"
"Sunflower County, Mississippi","427.38 (399.76, 455.28)"
"Tallahatchie County, Mississippi","303.66 (279.75, 326.77)"
"Tate County, Mississippi","379.35 (352.69, 404.04)"
"Tippah County, Mississippi","459.94 (432.83, 489.07)"
"Tishomingo County, Mississippi","433.81 (400.95, 465.58)"
"Tunica County, Mississippi","501.05 (457.69, 544.27)"
"Union County, Mississippi","355.97 (331.43, 382.27)"
"Walthall County, Mississippi","352.07 (323.47, 381.65)"
"Warren County, Mississippi","411.98 (389.26, 434.42)"
"Washington County, Mississippi","386.96 (365.62, 407.89)"
"Wayne County, Mississippi","368.45 (340.87, 397.51)"
"Webster County, Mississippi","454.94 (415.93, 493.31)"
"Wilkinson County, Mississippi","401.00 (366.40, 436.39)"
"Winston County, Mississippi","315.94 (292.02, 338.28)"
"Yalobusha County, Mississippi","387.37 (356.66, 420.16)"
"Yazoo County, Mississippi","345.03 (321.31, 368.76)"
Missouri,"290.00 (283.59, 295.96)"
"Adair County, Missouri","282.51 (264.79, 301.74)"
"Andrew County, Missouri","275.39 (255.81, 294.65)"
"Atchison County, Missouri","271.14 (247.60, 294.95)"
"Audrain County, Missouri","264.22 (248.24, 280.49)"
"Barry County, Missouri","351.40 (330.30, 373.10)"
"Barton County, Missouri","280.91 (259.65, 301.32)"
"Bates County, Missouri","314.20 (291.57, 336.20)"
"Benton County, Missouri","291.80 (273.91, 311.81)"
"Bollinger County, Missouri","353.55 (327.63, 382.87)"
"Boone County, Missouri","228.06 (217.10, 239.08)"
"Buchanan County, Missouri","318.95 (303.92, 334.15)"
"Butler County, Missouri","330.30 (311.18, 349.59)"
"Caldwell County, Missouri","283.97 (260.25, 307.04)"
"Callaway County, Missouri","277.55 (259.36, 294.97)"
"Camden County, Missouri","283.14 (268.20, 297.94)"
"Cape Girardeau County, Missouri","306.01 (289.89, 323.39)"
"Carroll County, Missouri","348.16 (322.78, 376.56)"
"Carter County, Missouri","363.25 (332.73, 396.32)"
"Cass County, Missouri","244.98 (232.54, 257.44)"
"Cedar County, Missouri","315.87 (291.86, 341.54)"
"Chariton County, Missouri","305.11 (278.15, 331.20)"
"Christian County, Missouri","280.56 (264.43, 296.64)"
"Clark County, Missouri","307.05 (280.78, 334.75)"
"Clay County, Missouri","222.66 (212.38, 232.69)"
"Clinton County, Missouri","289.81 (269.42, 310.72)"
"Cole County, Missouri","268.90 (254.42, 283.69)"
"Cooper County, Missouri","312.61 (288.33, 338.27)"
"Crawford County, Missouri","382.65 (359.60, 407.22)"
"Dade County, Missouri","304.56 (279.85, 329.97)"
"Dallas County, Missouri","259.49 (240.46, 279.71)"
"Daviess County, Missouri","323.27 (296.43, 352.58)"
"DeKalb County, Missouri","295.72 (274.77, 319.03)"
"Dent County, Missouri","338.76 (314.51, 362.91)"
"Douglas County, Missouri","245.27 (227.97, 263.57)"
"Dunklin County, Missouri","438.48 (415.41, 463.76)"
"Franklin County, Missouri","296.16 (279.93, 311.79)"
"Gasconade County, Missouri","316.33 (294.49, 339.37)"
"Gentry County, Missouri","316.22 (291.72, 343.34)"
"Greene County, Missouri","272.00 (261.20, 283.50)"
"Grundy County, Missouri","293.90 (274.18, 315.68)"
"Harrison County, Missouri","326.07 (301.26, 352.13)"
"Henry County, Missouri","364.29 (342.79, 385.10)"
"Hickory County, Missouri","261.94 (241.85, 285.66)"
"Holt County, Missouri","266.00 (242.70, 291.74)"
"Howard County, Missouri","280.13 (258.43, 302.84)"
"Howell County, Missouri","332.65 (313.26, 353.67)"
"Iron County, Missouri","431.85 (401.00, 464.66)"
"Jackson County, Missouri","270.89 (261.31, 280.52)"
"Jasper County, Missouri","357.45 (341.20, 373.75)"
"Jefferson County, Missouri","332.34 (317.35, 346.54)"
"Johnson County, Missouri","341.25 (321.31, 361.12)"
"Knox County, Missouri","320.74 (292.59, 352.48)"
"Laclede County, Missouri","381.81 (359.05, 405.69)"
"Lafayette County, Missouri","323.76 (303.35, 344.27)"
"Lawrence County, Missouri","309.91 (289.24, 329.75)"
"Lewis County, Missouri","345.85 (319.05, 372.53)"
"Lincoln County, Missouri","309.59 (291.27, 328.12)"
"Linn County, Missouri","336.69 (314.45, 360.68)"
"Livingston County, Missouri","328.51 (306.15, 352.26)"
"Macon County, Missouri","310.25 (289.98, 331.95)"
"Madison County, Missouri","327.16 (304.43, 349.51)"
"Maries County, Missouri","331.50 (302.74, 360.62)"
"Marion County, Missouri","308.47 (289.90, 327.59)"
"McDonald County, Missouri","330.12 (304.65, 353.42)"
"Mercer County, Missouri","256.38 (231.67, 283.50)"
"Miller County, Missouri","352.02 (330.69, 376.28)"
"Mississippi County, Missouri","464.86 (432.76, 498.26)"
"Moniteau County, Missouri","308.96 (285.51, 331.96)"
"Monroe County, Missouri","271.38 (249.54, 294.29)"
"Montgomery County, Missouri","316.86 (293.63, 341.39)"
"Morgan County, Missouri","336.24 (313.13, 358.48)"
"New Madrid County, Missouri","432.66 (403.74, 460.71)"
"Newton County, Missouri","306.86 (290.31, 323.05)"
"Nodaway County, Missouri","272.93 (254.22, 293.05)"
"Oregon County, Missouri","378.44 (350.15, 406.18)"
"Osage County, Missouri","299.81 (273.94, 326.41)"
"Ozark County, Missouri","308.22 (281.57, 335.96)"
"Pemiscot County, Missouri","483.03 (450.83, 513.54)"
"Perry County, Missouri","286.19 (265.99, 306.67)"
"Pettis County, Missouri","266.62 (251.63, 282.64)"
"Phelps County, Missouri","320.63 (300.65, 339.52)"
"Pike County, Missouri","325.79 (303.65, 349.10)"
"Platte County, Missouri","202.18 (191.42, 213.90)"
"Polk County, Missouri","284.19 (265.42, 302.39)"
"Pulaski County, Missouri","351.40 (329.00, 373.58)"
"Putnam County, Missouri","286.85 (261.49, 315.00)"
"Ralls County, Missouri","234.25 (214.28, 253.51)"
"Randolph County, Missouri","312.41 (291.94, 333.21)"
"Ray County, Missouri","316.60 (294.13, 339.21)"
"Reynolds County, Missouri","322.09 (294.66, 351.51)"
"Ripley County, Missouri","387.70 (357.90, 417.04)"
"Saint Charles County, Missouri","223.99 (214.34, 233.31)"
"Saint Clair County, Missouri","323.13 (296.53, 348.62)"
"Saint Francois County, Missouri","355.58 (337.80, 373.21)"
"Saint Louis City, Missouri","351.92 (339.97, 364.20)"
"Saint Louis County, Missouri","261.26 (253.19, 269.66)"
"Sainte Genevieve County, Missouri","281.78 (258.63, 304.39)"
"Saline County, Missouri","338.42 (316.23, 359.44)"
"Schuyler County, Missouri","266.36 (241.13, 292.89)"
"Scotland County, Missouri","269.71 (244.65, 296.38)"
"Scott County, Missouri","320.83 (302.97, 340.86)"
"Shannon County, Missouri","320.36 (290.90, 349.23)"
"Shelby County, Missouri","335.45 (304.57, 367.08)"
"Stoddard County, Missouri","294.84 (276.78, 311.91)"
"Stone County, Missouri","268.52 (252.70, 285.45)"
"Sullivan County, Missouri","282.40 (258.10, 308.29)"
"Taney County, Missouri","300.46 (282.71, 317.57)"
"Texas County, Missouri","306.12 (286.59, 325.07)"
"Vernon County, Missouri","355.87 (329.90, 381.34)"
"Warren County, Missouri","257.06 (240.17, 275.07)"
"Washington County, Missouri","475.25 (440.67, 509.43)"
"Wayne County, Missouri","317.12 (293.81, 340.25)"
"Webster County, Missouri","314.11 (293.06, 336.21)"
"Worth County, Missouri","277.78 (247.17, 311.25)"
"Wright County, Missouri","371.35 (343.81, 399.66)"
Montana,"226.92 (220.19, 233.16)"
"Beaverhead County, Montana","193.28 (176.88, 210.91)"
"Big Horn County, Montana","281.29 (257.17, 306.17)"
"Blaine County, Montana","264.45 (238.86, 291.17)"
"Broadwater County, Montana","223.10 (200.54, 246.83)"
"Carbon County, Montana","187.97 (172.50, 204.81)"
"Carter County, Montana","247.85 (216.28, 279.47)"
"Cascade County, Montana","210.65 (199.91, 222.11)"
"Chouteau County, Montana","227.49 (206.71, 248.44)"
"Custer County, Montana","232.56 (214.42, 253.27)"
"Daniels County, Montana","204.06 (177.76, 233.21)"
"Dawson County, Montana","232.31 (212.92, 253.21)"
"Deer Lodge County, Montana","261.35 (241.53, 281.60)"
"Fallon County, Montana","228.58 (204.74, 253.68)"
"Fergus County, Montana","230.63 (213.59, 247.43)"
"Flathead County, Montana","238.04 (225.58, 250.45)"
"Gallatin County, Montana","190.59 (178.77, 202.65)"
"Garfield County, Montana","192.73 (168.61, 219.14)"
"Glacier County, Montana","286.04 (263.44, 311.11)"
"Golden Valley County, Montana","190.51 (162.60, 220.04)"
"Granite County, Montana","183.72 (162.05, 206.85)"
"Hill County, Montana","270.84 (247.70, 292.13)"
"Jefferson County, Montana","238.78 (219.24, 258.79)"
"Judith Basin County, Montana","174.93 (153.04, 197.99)"
"Lake County, Montana","220.54 (206.42, 235.78)"
"Lewis and Clark County, Montana","210.06 (198.07, 221.72)"
"Liberty County, Montana","179.37 (155.51, 205.44)"
"Lincoln County, Montana","268.15 (250.46, 287.38)"
"Madison County, Montana","207.20 (189.01, 227.20)"
"McCone County, Montana","266.53 (235.67, 301.12)"
"Meagher County, Montana","253.59 (225.46, 285.14)"
"Mineral County, Montana","234.95 (209.63, 261.31)"
"Missoula County, Montana","206.05 (194.67, 217.49)"
"Musselshell County, Montana","289.77 (262.78, 318.29)"
"Park County, Montana","186.16 (172.39, 203.08)"
"Petroleum County, Montana","202.05 (166.04, 241.84)"
"Phillips County, Montana","237.64 (214.87, 261.97)"
"Pondera County, Montana","206.10 (188.38, 225.69)"
"Powder River County, Montana","215.22 (191.51, 242.48)"
"Powell County, Montana","232.52 (212.02, 253.54)"
"Prairie County, Montana","215.73 (187.11, 247.48)"
"Ravalli County, Montana","200.87 (188.61, 213.27)"
"Richland County, Montana","290.94 (265.54, 319.15)"
"Roosevelt County, Montana","363.49 (332.30, 393.24)"
"Rosebud County, Montana","269.69 (248.53, 294.62)"
"Sanders County, Montana","251.61 (232.87, 272.57)"
"Sheridan County, Montana","252.63 (226.59, 279.34)"
"Silver Bow County, Montana","292.67 (275.00, 309.63)"
"Stillwater County, Montana","237.06 (214.81, 258.91)"
"Sweet Grass County, Montana","208.74 (187.16, 234.69)"
"Teton County, Montana","220.96 (200.91, 242.33)"
"Toole County, Montana","247.94 (220.92, 274.79)"
"Treasure County, Montana","196.57 (163.29, 231.34)"
"Valley County, Montana","227.76 (207.21, 251.12)"
"Wheatland County, Montana","244.59 (213.73, 276.14)"
"Wibaux County, Montana","281.06 (246.19, 319.98)"
"Yellowstone County, Montana","233.16 (221.52, 244.38)"
Nebraska,"227.75 (221.44, 234.05)"
"Adams County, Nebraska","249.44 (233.92, 266.30)"
"Antelope County, Nebraska","221.78 (201.68, 241.04)"
"Arthur County, Nebraska","190.66 (158.41, 229.95)"
"Banner County, Nebraska","163.90 (140.44, 192.15)"
"Blaine County, Nebraska","199.50 (167.40, 235.13)"
"Boone County, Nebraska","194.86 (177.78, 212.68)"
"Box Butte County, Nebraska","266.57 (245.16, 289.01)"
"Boyd County, Nebraska","274.01 (244.86, 305.68)"
"Brown County, Nebraska","185.28 (166.72, 207.59)"
"Buffalo County, Nebraska","217.25 (203.65, 231.22)"
"Burt County, Nebraska","260.36 (238.61, 281.55)"
"Butler County, Nebraska","260.00 (238.26, 281.64)"
"Cass County, Nebraska","227.53 (211.06, 242.33)"
"Cedar County, Nebraska","231.89 (213.32, 252.33)"
"Chase County, Nebraska","235.34 (211.60, 260.21)"
"Cherry County, Nebraska","195.20 (178.42, 212.47)"
"Cheyenne County, Nebraska","215.85 (199.01, 233.80)"
"Clay County, Nebraska","254.29 (231.69, 278.32)"
"Colfax County, Nebraska","211.54 (193.66, 230.62)"
"Cuming County, Nebraska","240.00 (220.59, 259.23)"
"Custer County, Nebraska","280.55 (259.66, 302.28)"
"Dakota County, Nebraska","265.73 (247.41, 284.38)"
"Dawes County, Nebraska","239.08 (219.03, 261.08)"
"Dawson County, Nebraska","241.91 (224.72, 258.79)"
"Deuel County, Nebraska","213.77 (189.13, 240.92)"
"Dixon County, Nebraska","255.09 (232.44, 281.93)"
"Dodge County, Nebraska","217.80 (204.42, 230.75)"
"Douglas County, Nebraska","228.14 (219.85, 237.49)"
"Dundy County, Nebraska","245.36 (217.33, 273.96)"
"Fillmore County, Nebraska","272.70 (250.87, 297.16)"
"Franklin County, Nebraska","249.81 (226.39, 274.83)"
"Frontier County, Nebraska","181.90 (161.86, 202.98)"
"Furnas County, Nebraska","265.57 (241.82, 290.35)"
"Gage County, Nebraska","222.84 (208.50, 238.20)"
"Garden County, Nebraska","270.07 (242.62, 296.92)"
"Garfield County, Nebraska","256.24 (225.46, 286.76)"
"Gosper County, Nebraska","215.85 (190.36, 242.46)"
"Grant County, Nebraska","181.70 (151.36, 211.68)"
"Greeley County, Nebraska","219.05 (194.29, 243.80)"
"Hall County, Nebraska","203.34 (191.43, 215.10)"
"Hamilton County, Nebraska","203.71 (185.48, 221.70)"
"Harlan County, Nebraska","248.18 (224.10, 275.02)"
"Hayes County, Nebraska","129.27 (111.13, 150.14)"
"Hitchcock County, Nebraska","204.57 (183.13, 228.17)"
"Holt County, Nebraska","236.32 (218.74, 253.57)"
"Hooker County, Nebraska","237.56 (204.94, 273.88)"
"Howard County, Nebraska","232.81 (211.28, 253.42)"
"Jefferson County, Nebraska","262.46 (239.87, 284.18)"
"Johnson County, Nebraska","250.40 (225.73, 275.90)"
"Kearney County, Nebraska","228.91 (208.55, 248.97)"
"Keith County, Nebraska","244.59 (224.15, 266.56)"
"Keya Paha County, Nebraska","193.01 (168.10, 219.96)"
"Kimball County, Nebraska","252.94 (229.64, 279.97)"
"Knox County, Nebraska","307.28 (285.84, 332.47)"
"Lancaster County, Nebraska","200.46 (191.51, 209.83)"
"Lincoln County, Nebraska","224.85 (211.46, 239.25)"
"Logan County, Nebraska","230.29 (195.02, 267.31)"
"Loup County, Nebraska","183.64 (155.58, 215.70)"
"Madison County, Nebraska","265.18 (248.88, 282.57)"
"McPherson County, Nebraska","139.45 (116.13, 164.64)"
"Merrick County, Nebraska","217.86 (199.03, 237.78)"
"Morrill County, Nebraska","260.90 (234.73, 288.16)"
"Nance County, Nebraska","239.54 (214.42, 266.23)"
"Nemaha County, Nebraska","207.87 (188.96, 227.66)"
"Nuckolls County, Nebraska","232.58 (211.29, 253.95)"
"Otoe County, Nebraska","215.18 (200.98, 230.99)"
"Pawnee County, Nebraska","238.83 (215.63, 263.82)"
"Perkins County, Nebraska","232.74 (207.53, 257.70)"
"Phelps County, Nebraska","241.71 (222.57, 261.51)"
"Pierce County, Nebraska","284.18 (259.49, 310.95)"
"Platte County, Nebraska","214.77 (201.12, 229.01)"
"Polk County, Nebraska","276.20 (251.26, 301.91)"
"Red Willow County, Nebraska","196.65 (181.47, 212.95)"
"Richardson County, Nebraska","263.91 (245.33, 283.62)"
"Rock County, Nebraska","237.63 (204.79, 269.36)"
"Saline County, Nebraska","253.44 (233.81, 273.12)"
"Sarpy County, Nebraska","206.24 (195.04, 217.19)"
"Saunders County, Nebraska","205.82 (191.32, 220.17)"
"Scotts Bluff County, Nebraska","282.59 (266.38, 298.58)"
"Seward County, Nebraska","255.96 (236.83, 275.31)"
"Sheridan County, Nebraska","254.29 (230.37, 277.39)"
"Sherman County, Nebraska","211.73 (188.91, 235.75)"
"Sioux County, Nebraska","139.62 (120.75, 160.35)"
"Stanton County, Nebraska","195.17 (176.18, 215.64)"
"Thayer County, Nebraska","260.70 (237.95, 284.33)"
"Thomas County, Nebraska","213.09 (177.50, 250.97)"
"Thurston County, Nebraska","311.68 (285.43, 340.83)"
"Valley County, Nebraska","228.80 (205.42, 251.68)"
"Washington County, Nebraska","200.36 (185.54, 215.56)"
"Wayne County, Nebraska","188.31 (171.13, 205.81)"
"Webster County, Nebraska","270.75 (245.78, 298.19)"
"Wheeler County, Nebraska","191.85 (164.05, 223.48)"
"York County, Nebraska","234.85 (217.12, 253.76)"
Nevada,"258.28 (252.00, 264.11)"
"Carson City, Nevada","300.64 (286.05, 316.02)"
"Churchill County, Nevada","296.23 (277.39, 315.96)"
"Clark County, Nevada","244.79 (238.09, 251.17)"
"Douglas County, Nevada","202.63 (190.49, 215.16)"
"Elko County, Nevada","252.97 (238.02, 269.26)"
"Esmeralda County, Nevada","360.39 (307.49, 421.40)"
"Eureka County, Nevada","300.89 (258.67, 345.30)"
"Humboldt County, Nevada","296.02 (273.47, 320.09)"
"Lander County, Nevada","285.21 (255.37, 316.69)"
"Lincoln County, Nevada","296.48 (267.64, 324.52)"
"Lyon County, Nevada","287.82 (273.66, 303.21)"
"Mineral County, Nevada","352.07 (317.85, 386.88)"
"Nye County, Nevada","339.15 (321.75, 356.93)"
"Pershing County, Nevada","247.56 (220.93, 274.02)"
"Storey County, Nevada","148.94 (131.80, 169.74)"
"Washoe County, Nevada","294.09 (283.24, 304.74)"
"White Pine County, Nevada","284.26 (262.41, 308.19)"
New Hampshire,"220.47 (213.58, 227.05)"
"Belknap County, New Hampshire","239.66 (226.46, 253.61)"
"Carroll County, New Hampshire","188.90 (177.85, 200.09)"
"Cheshire County, New Hampshire","221.63 (209.59, 234.20)"
"Coos County, New Hampshire","264.89 (249.33, 281.42)"
"Grafton County, New Hampshire","213.35 (202.31, 224.49)"
"Hillsborough County, New Hampshire","220.66 (211.08, 230.13)"
"Merrimack County, New Hampshire","233.80 (222.19, 245.32)"
"Rockingham County, New Hampshire","212.58 (203.96, 221.74)"
"Strafford County, New Hampshire","215.32 (204.54, 226.12)"
"Sullivan County, New Hampshire","231.12 (217.42, 245.31)"
New Jersey,"248.78 (243.21, 254.35)"
"Atlantic County, New Jersey","284.48 (274.40, 294.86)"
"Bergen County, New Jersey","211.99 (204.72, 219.05)"
"Burlington County, New Jersey","248.09 (238.98, 256.88)"
"Camden County, New Jersey","272.30 (263.06, 281.45)"
"Cape May County, New Jersey","285.03 (272.09, 298.80)"
"Cumberland County, New Jersey","318.33 (303.62, 332.22)"
"Essex County, New Jersey","256.72 (248.59, 264.36)"
"Gloucester County, New Jersey","272.21 (261.45, 282.85)"
"Hudson County, New Jersey","239.29 (231.25, 247.05)"
"Hunterdon County, New Jersey","191.32 (181.92, 201.78)"
"Mercer County, New Jersey","239.81 (231.21, 248.64)"
"Middlesex County, New Jersey","235.79 (228.11, 243.51)"
"Monmouth County, New Jersey","245.28 (236.63, 253.93)"
"Morris County, New Jersey","225.30 (216.73, 233.48)"
"Ocean County, New Jersey","290.39 (281.47, 299.07)"
"Passaic County, New Jersey","252.70 (243.67, 261.72)"
"Salem County, New Jersey","300.51 (284.41, 317.11)"
"Somerset County, New Jersey","210.13 (201.40, 219.31)"
"Sussex County, New Jersey","257.58 (246.14, 269.66)"
"Union County, New Jersey","243.68 (234.86, 252.37)"
"Warren County, New Jersey","254.77 (242.71, 266.13)"
New Mexico,"221.15 (215.47, 226.75)"
"Bernalillo County, New Mexico","216.83 (208.98, 224.67)"
"Catron County, New Mexico","174.68 (155.43, 193.85)"
"Chaves County, New Mexico","269.63 (255.18, 284.08)"
"Cibola County, New Mexico","225.62 (214.69, 237.39)"
"Colfax County, New Mexico","224.21 (206.82, 241.59)"
"Curry County, New Mexico","298.49 (280.42, 317.63)"
"De Baca County, New Mexico","234.78 (209.65, 263.09)"
"Dona Ana County, New Mexico","204.52 (194.84, 213.87)"
"Eddy County, New Mexico","288.50 (272.99, 304.65)"
"Grant County, New Mexico","233.36 (218.61, 247.25)"
"Guadalupe County, New Mexico","251.12 (223.89, 278.12)"
"Harding County, New Mexico","158.05 (135.67, 183.25)"
"Hidalgo County, New Mexico","263.49 (236.59, 291.66)"
"Lea County, New Mexico","307.11 (290.31, 323.96)"
"Lincoln County, New Mexico","185.66 (172.88, 198.53)"
"Los Alamos County, New Mexico","149.30 (136.20, 163.38)"
"Luna County, New Mexico","307.38 (288.43, 327.06)"
"McKinley County, New Mexico","207.52 (195.98, 220.10)"
"Mora County, New Mexico","193.31 (173.88, 214.27)"
"Otero County, New Mexico","259.17 (244.83, 273.51)"
"Quay County, New Mexico","294.75 (272.29, 318.02)"
"Rio Arriba County, New Mexico","209.99 (197.12, 223.52)"
"Roosevelt County, New Mexico","280.35 (259.11, 302.05)"
"San Juan County, New Mexico","204.22 (193.86, 214.81)"
"San Miguel County, New Mexico","235.79 (219.60, 251.17)"
"Sandoval County, New Mexico","199.51 (189.33, 210.03)"
"Santa Fe County, New Mexico","170.89 (162.26, 179.84)"
"Sierra County, New Mexico","294.14 (275.44, 313.70)"
"Socorro County, New Mexico","245.83 (225.98, 265.64)"
"Taos County, New Mexico","156.15 (145.58, 167.16)"
"Torrance County, New Mexico","261.52 (242.26, 281.85)"
"Union County, New Mexico","262.47 (237.05, 289.24)"
"Valencia County, New Mexico","225.62 (214.69, 237.39)"
New York,"258.45 (253.91, 262.91)"
"Albany County, New York","258.73 (248.10, 268.85)"
"Allegany County, New York","262.26 (248.20, 277.28)"
"Bronx County, New York","281.06 (273.79, 288.06)"
"Broome County, New York","270.36 (259.53, 281.07)"
"Cattaraugus County, New York","350.34 (335.46, 367.25)"
"Cayuga County, New York","260.66 (248.05, 273.11)"
"Chautauqua County, New York","287.73 (274.95, 299.84)"
"Chemung County, New York","271.08 (258.20, 284.91)"
"Chenango County, New York","357.47 (340.50, 376.58)"
"Clinton County, New York","261.68 (248.53, 275.09)"
"Columbia County, New York","284.93 (270.47, 300.19)"
"Cortland County, New York","266.07 (251.11, 282.32)"
"Delaware County, New York","277.51 (262.07, 291.85)"
"Dutchess County, New York","251.71 (241.52, 261.42)"
"Erie County, New York","271.50 (263.33, 280.18)"
"Essex County, New York","230.39 (217.28, 243.85)"
"Franklin County, New York","273.26 (257.42, 289.72)"
"Fulton County, New York","297.87 (281.65, 314.58)"
"Genesee County, New York","274.71 (259.88, 290.67)"
"Greene County, New York","282.25 (267.86, 296.88)"
"Hamilton County, New York","263.90 (239.31, 289.94)"
"Herkimer County, New York","288.18 (273.30, 302.42)"
"Jefferson County, New York","269.46 (255.36, 282.83)"
"Kings County, New York","267.07 (261.73, 273.06)"
"Lewis County, New York","226.54 (211.61, 242.82)"
"Livingston County, New York","224.73 (211.93, 237.05)"
"Madison County, New York","239.00 (226.88, 251.75)"
"Monroe County, New York","230.78 (222.80, 239.55)"
"Montgomery County, New York","344.55 (325.58, 362.95)"
"Nassau County, New York","267.41 (260.67, 274.18)"
"New York County, New York","201.86 (195.69, 207.42)"
"Niagara County, New York","323.48 (311.31, 336.62)"
"Oneida County, New York","284.48 (273.67, 294.71)"
"Onondaga County, New York","234.58 (226.25, 243.21)"
"Ontario County, New York","243.43 (231.47, 255.38)"
"Orange County, New York","262.17 (252.40, 272.34)"
"Orleans County, New York","312.86 (293.97, 331.51)"
"Oswego County, New York","279.02 (265.26, 293.05)"
"Otsego County, New York","247.20 (234.28, 260.02)"
"Putnam County, New York","253.94 (241.99, 267.30)"
"Queens County, New York","255.84 (249.97, 261.14)"
"Rensselaer County, New York","288.69 (276.23, 301.61)"
"Richmond County, New York","333.11 (321.75, 343.48)"
"Rockland County, New York","232.26 (223.28, 241.56)"
"Saint Lawrence County, New York","282.66 (268.72, 295.83)"
"Saratoga County, New York","220.87 (212.18, 230.86)"
"Schenectady County, New York","268.85 (257.58, 280.54)"
"Schoharie County, New York","223.48 (208.68, 237.65)"
"Schuyler County, New York","264.04 (245.07, 283.51)"
"Seneca County, New York","246.29 (230.68, 262.96)"
"Steuben County, New York","266.91 (254.48, 279.83)"
"Suffolk County, New York","263.12 (255.42, 270.23)"
"Sullivan County, New York","294.05 (279.87, 308.19)"
"Tioga County, New York","220.64 (207.99, 233.94)"
"Tompkins County, New York","213.54 (200.89, 226.59)"
"Ulster County, New York","247.99 (237.14, 259.30)"
"Warren County, New York","220.81 (208.97, 232.15)"
"Washington County, New York","232.54 (218.00, 245.67)"
"Wayne County, New York","242.23 (229.00, 255.69)"
"Westchester County, New York","225.94 (219.20, 232.80)"
"Wyoming County, New York","279.24 (262.23, 297.96)"
"Yates County, New York","236.87 (219.42, 254.90)"
North Carolina,"255.06 (248.98, 261.38)"
"Alamance County, North Carolina","255.35 (243.76, 267.47)"
"Alexander County, North Carolina","242.31 (225.81, 258.79)"
"Alleghany County, North Carolina","248.17 (226.58, 269.60)"
"Anson County, North Carolina","341.63 (320.39, 363.83)"
"Ashe County, North Carolina","236.37 (220.17, 252.94)"
"Avery County, North Carolina","267.20 (248.90, 286.32)"
"Beaufort County, North Carolina","300.79 (286.17, 317.62)"
"Bertie County, North Carolina","299.43 (281.32, 318.60)"
"Bladen County, North Carolina","350.15 (330.21, 372.06)"
"Brunswick County, North Carolina","242.83 (231.18, 254.75)"
"Buncombe County, North Carolina","231.18 (221.09, 240.90)"
"Burke County, North Carolina","277.65 (263.98, 290.53)"
"Cabarrus County, North Carolina","242.73 (231.78, 254.15)"
"Caldwell County, North Carolina","293.39 (278.03, 309.11)"
"Camden County, North Carolina","252.23 (230.06, 275.21)"
"Carteret County, North Carolina","252.87 (239.72, 265.71)"
"Caswell County, North Carolina","287.00 (268.67, 306.53)"
"Catawba County, North Carolina","259.20 (247.16, 272.17)"
"Chatham County, North Carolina","186.41 (176.69, 196.42)"
"Cherokee County, North Carolina","286.45 (268.50, 306.25)"
"Chowan County, North Carolina","286.54 (267.40, 305.98)"
"Clay County, North Carolina","218.52 (199.20, 238.38)"
"Cleveland County, North Carolina","329.94 (314.25, 346.67)"
"Columbus County, North Carolina","382.34 (361.78, 403.61)"
"Craven County, North Carolina","258.10 (245.62, 270.55)"
"Cumberland County, North Carolina","285.76 (274.40, 297.54)"
"Currituck County, North Carolina","270.14 (251.60, 287.73)"
"Dare County, North Carolina","234.94 (219.14, 251.80)"
"Davidson County, North Carolina","288.35 (276.28, 301.68)"
"Davie County, North Carolina","225.61 (211.44, 239.98)"
"Duplin County, North Carolina","272.68 (256.53, 287.34)"
"Durham County, North Carolina","210.89 (201.52, 220.04)"
"Edgecombe County, North Carolina","339.97 (322.53, 357.01)"
"Forsyth County, North Carolina","222.47 (213.58, 231.50)"
"Franklin County, North Carolina","257.54 (243.04, 272.59)"
"Gaston County, North Carolina","291.89 (279.79, 304.06)"
"Gates County, North Carolina","289.42 (267.49, 314.54)"
"Graham County, North Carolina","300.44 (276.16, 325.49)"
"Granville County, North Carolina","238.62 (225.30, 252.08)"
"Greene County, North Carolina","287.66 (267.27, 309.03)"
"Guilford County, North Carolina","232.25 (223.66, 241.69)"
"Halifax County, North Carolina","321.87 (304.71, 337.95)"
"Harnett County, North Carolina","282.80 (268.78, 297.92)"
"Haywood County, North Carolina","262.95 (249.22, 277.56)"
"Henderson County, North Carolina","217.74 (207.24, 228.73)"
"Hertford County, North Carolina","286.41 (267.08, 304.77)"
"Hoke County, North Carolina","290.15 (271.35, 311.04)"
"Hyde County, North Carolina","294.19 (264.74, 323.17)"
