State,County,"County diagnosed diabetes prevalence for total population, 30+yrs, 2008 (%)",,,
GA,Warren,16.1,,,
GA,Washington,14.7,,,
GA,Wayne,11.6,,,
GA,Webster,15.2,,,
GA,Wheeler,14.8,,,
GA,White,9.9,,,
GA,Whitfield,11.1,,,
GA,Wilcox,15.5,,,
GA,Wilkes,13.7,,,
GA,Wilkinson,13.9,,,
GA,Worth,13.0,,,
HI,Hawaii*,10.1,,,
HI,Hawaii,8.1,,,
HI,Honolulu,8.6,,,
HI,Kalawao,8.4,,,
HI,Kauai,8.3,,,
HI,Maui,8.0,,,
ID,Idaho*,8.7,,,
ID,Ada,7.7,,,
ID,Adams,9.5,,,
ID,Bannock,9.8,,,
ID,Bear Lake,9.4,,,
ID,Benewah,10.3,,,
ID,Bingham,11.0,,,
ID,Blaine,5.4,,,
ID,Boise,9.1,,,
ID,Bonner,8.8,,,
ID,Bonneville,8.9,,,
ID,Boundary,8.6,,,
ID,Butte,9.8,,,
ID,Camas,8.2,,,
ID,Canyon,10.3,,,
ID,Caribou,9.8,,,
ID,Cassia,9.8,,,
ID,Clark,10.5,,,
ID,Clearwater,8.7,,,
ID,Custer,9.2,,,
ID,Elmore,9.7,,,
ID,Franklin,9.7,,,
ID,Fremont,9.7,,,
ID,Gem,9.7,,,
ID,Gooding,10.0,,,
ID,Idaho,8.6,,,
ID,Jefferson,10.3,,,
ID,Jerome,9.2,,,
ID,Kootenai,8.6,,,
ID,Latah,7.6,,,
ID,Lemhi,8.7,,,
ID,Lewis,9.8,,,
ID,Lincoln,9.6,,,
ID,Madison,10.8,,,
ID,Minidoka,10.2,,,
ID,Nez Perce,9.3,,,
ID,Oneida,9.4,,,
ID,Owyhee,10.7,,,
ID,Payette,10.0,,,
ID,Power,10.5,,,
ID,Shoshone,9.5,,,
ID,Teton,7.3,,,
ID,Twin Falls,9.2,,,
ID,Valley,6.4,,,
ID,Washington,9.6,,,
IL,Illinois*,10.6,,,
IL,Adams,9.2,,,
IL,Alexander,13.9,,,
IL,Bond,10.4,,,
IL,Boone,9.5,,,
IL,Brown,10.9,,,
IL,Bureau,9.3,,,
IL,Calhoun,9.7,,,
IL,Carroll,9.6,,,
IL,Cass,10.0,,,
IL,Champaign,9.3,,,
IL,Christian,10.8,,,
IL,Clark,10.2,,,
IL,Clay,10.5,,,
IL,Clinton,9.8,,,
IL,Coles,10.0,,,
IL,Cook,10.3,,,
IL,Crawford,11.0,,,
IL,Cumberland,10.6,,,
IL,DeKalb,9.1,,,
IL,De Witt,9.5,,,
IL,Douglas,9.5,,,
IL,DuPage,6.8,,,
IL,Edgar,10.3,,,
IL,Edwards,10.5,,,
IL,Effingham,9.2,,,
IL,Fayette,10.9,,,
IL,Ford,9.1,,,
IL,Franklin,10.4,,,
IL,Fulton,10.3,,,
IL,Gallatin,11.5,,,
IL,Greene,10.5,,,
IL,Grundy,9.2,,,
IL,Hamilton,10.8,,,
IL,Hancock,9.3,,,
IL,Hardin,10.9,,,
IL,Henderson,9.9,,,
IL,Henry,9.3,,,
IL,Iroquois,10.1,,,
IL,Jackson,9.6,,,
IL,Jasper,10.3,,,
IL,Jefferson,10.7,,,
IL,Jersey,10.1,,,
IL,Jo Daviess,8.9,,,
IL,Johnson,11.3,,,
IL,Kane,8.8,,,
IL,Kankakee,10.8,,,
IL,Kendall,8.1,,,
IL,Knox,10.2,,,
IL,Lake,7.6,,,
IL,LaSalle,9.8,,,
IL,Lawrence,10.6,,,
IL,Lee,10.0,,,
IL,Livingston,10.1,,,
IL,Logan,10.0,,,
IL,McDonough,9.9,,,
IL,McHenry,7.8,,,
IL,McLean,7.9,,,
IL,Macon,10.5,,,
IL,Macoupin,10.6,,,
IL,Madison,9.9,,,
IL,Marion,10.5,,,
IL,Marshall,9.6,,,
IL,Mason,10.3,,,
